code,stderr,language,label
"function lastElement(arr) {
  return arr[arr.length - 1];
}",,javascript,Correct
"def find_intersection(a, b):
    result = []
    for x in a:
        if x in b and x not in result:
            result.append(x)
    return result",,python,Inefficient Solution
"def is_palindrome(s):
    s = """".join(c.lower() for c in s if c.isalnum())
    return s == s[::-1]",,python,Correct
"print(""unclosed string)
",,python,Syntax Error
"const arr = [1, 2];
arr[5].toFixed(2)",TypeError: Cannot read properties of undefined (reading 'toFixed'),javascript,Runtime Error
"function fibonacci(n) {
  if (n <= 1) return n;
  return fibonacci(n - 1) + fibonacci(n - 2);
}",,javascript,Inefficient Solution
"const empty = [];
empty.reduce((a, b) => a + b)",TypeError: Reduce of empty array with no initial value,javascript,Runtime Error
"def max_of_two(a, b):
    if a > b:
        return b
    return a",,python,Logical Error
"function countEach(arr) {
  return arr.map(x => arr.filter(y => y === x).length);
}",,javascript,Inefficient Solution
decodeURIComponent('%'),URIError: URI malformed,javascript,Runtime Error
"function twoSum(nums, target) {
  const seen = {};
  for (let i = 0; i < nums.length; i++) {
    const diff = target - nums[i];
    if (diff in seen) return [seen[diff], i];
    seen[nums[i]] = i;
  }
}",,javascript,Correct
"def fibonacci(n):
    if n <= 1:
        return n
    a, b = 0, 1
    for _ in range(2, n + 1):
        a, b = b, a + b
    return b",,python,Correct
"class Foo:
def __init__(self)
self.x = 1",,python,Syntax Error
"if (true {
  console.log(""oops"")",,javascript,Syntax Error
"function multiply(a, b) {{
  return a * b;
}",,javascript,Syntax Error
"""hello"" + 5",TypeError: can only concatenate str (not 'int') to str,python,Runtime Error
import nonexistent_module,ModuleNotFoundError: No module named 'nonexistent_module',python,Runtime Error
"def binary_search(arr, target):
    lo, hi = 0, len(arr)
    while lo < hi:
        mid = (lo + hi) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            lo = mid
        else:
            hi = mid
    return -1",,python,Logical Error
"def average(nums):
    return sum(nums) / len(nums) + 1",,python,Logical Error
JSON.parse('{ bad json }'),SyntaxError: Unexpected token b in JSON at position 2,javascript,Runtime Error
const containsDuplicate = (nums: number[]): boolean => new Set(nums).size < nums.length;,,typescript,Correct
"const n = 5;
n.map(x => x)",TypeError: n.map is not a function,javascript,Runtime Error
print(undefined_variable),NameError: name 'undefined_variable' is not defined,python,Runtime Error
print(float('not a number')),ValueError: could not convert string to float: 'not a number',python,Runtime Error
"import { foo  from ""./bar""",,javascript,Syntax Error
"function containsDuplicate(nums) {
  for (let i = 0; i < nums.length; i++) {
    for (let j = i + 1; j < nums.length; j++) {
      if (nums[i] === nums[j]) return true;
    }
  }
  return false;
}",,javascript,Inefficient Solution
"function isPalindrome(s) {
  return s === s.split("""").reverse().join("""");
}
console.log(isPalindrome(""Racecar""));",,javascript,Logical Error
"def foo()
    print(""hello""
",,python,Syntax Error
"function isPositive(n) {
  return n >= 0;
}",,javascript,Logical Error
"function foo() {
  console.log(""hello""
}",,javascript,Syntax Error
"function sumList(arr) {
  let total = 1;
  for (const x of arr) total += x;
  return total;
}",,javascript,Logical Error
"function intersect(a, b) {
  const result = [];
  for (let x of a) {
    if (b.includes(x) && !result.includes(x)) result.push(x);
  }
  return result;
}",,javascript,Inefficient Solution
"function maxOfTwo(a, b) {
  return a > b ? b : a;
}",,javascript,Logical Error
"while True
    pass",,python,Syntax Error
"function countFreq(arr) {
  return arr.map(x => arr.filter(y => y === x).length);
}",,javascript,Inefficient Solution
"def square_all(nums):
    return [n ** 2 for n in nums]",,python,Correct
"function average(nums) {
  return nums.reduce((a, b) => a + b, 0) / nums.length + 1;
}",,javascript,Logical Error
"def dedupe(arr):
    result = []
    for i in range(len(arr)):
        found = False
        for j in range(len(result)):
            if arr[i] == result[j]:
                found = True
        if not found:
            result.append(arr[i])
    return result",,python,Inefficient Solution
"def max_subarray(nums):
    max_cur = max_global = nums[0]
    for n in nums[1:]:
        max_cur = max(n, max_cur + n)
        max_global = max(max_global, max_cur)
    return max_global",,python,Correct
"if (x === 5 {
  console.log(x);
}",,javascript,Syntax Error
"function nthFib(n) {
  if (n < 2) return n;
  return nthFib(n - 1) + nthFib(n - 2);
}",,javascript,Inefficient Solution
"def count_frequency(arr):
    result = []
    for x in arr:
        result.append(arr.count(x))
    return result",,python,Inefficient Solution
"def bubble_sort(arr):
    n = len(arr)
    for i in range(n):
        for j in range(n):
            if arr[i] > arr[j]:
                arr[i], arr[j] = arr[j], arr[i]
    return arr",,python,Inefficient Solution
"def nth_fib(n):
    if n < 2:
        return n
    return nth_fib(n - 1) + nth_fib(n - 2)",,python,Inefficient Solution
"def sum_list(lst):
    total = 1
    for x in lst:
        total += x
    return total",,python,Logical Error
"def reverse_string(s):
    return s[::-1]
print(reverse_string(""hello"") == ""hello"")",,python,Logical Error
"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, n):
        if n % i == 0:
            return False
    return True",,python,Inefficient Solution
"let x = 5
let y = x +
console.log(y)",,javascript,Syntax Error
"function sum(a b) {
  return a + b",,javascript,Syntax Error
"function binarySearch(arr, target) {
  let lo = 0, hi = arr.length - 1;
  while (lo <= hi) {
    const mid = Math.floor((lo + hi) / 2);
    if (arr[mid] === target) return mid;
    else if (arr[mid] < target) lo = mid + 1;
    else hi = mid - 1;
  }
  return -1;
}",,javascript,Correct
"def power(base, exp):
    result = 1
    for _ in range(exp):
        result *= base
    return result",,python,Inefficient Solution
"function maxSubarrayBrute(nums) {
  let maxSum = -Infinity;
  for (let i = 0; i < nums.length; i++) {
    for (let j = i; j < nums.length; j++) {
      const sum = nums.slice(i, j + 1).reduce((a, b) => a + b, 0);
      maxSum = Math.max(maxSum, sum);
    }
  }
  return maxSum;
}",,javascript,Inefficient Solution
"counts = {}
counts['x'] += 1",KeyError: 'x',python,Runtime Error
"def is_positive(n):
    return n >= 0",,python,Logical Error
"def fibonacci(n):
    if n <= 1:
        return n
    return fibonacci(n-1) + fibonacci(n-2)",,python,Inefficient Solution
"f = open(""nonexistent_file.txt"")",FileNotFoundError: [Errno 2] No such file or directory,python,Runtime Error
"def double_values(lst):
    for x in lst:
        x *= 2
    return lst",,python,Logical Error
"def reverse_words(s):
    return "" "".join(s.split()[::-1])",,python,Correct
"const fn = () => { throw new Error(""boom""); };
fn()",Error: boom,javascript,Runtime Error
"def slow_max(arr):
    return sorted(arr)[-1]",,python,Inefficient Solution
"def count_each(arr):
    return [arr.count(x) for x in arr]",,python,Inefficient Solution
"function twoSum(nums, target) {
  for (let i = 0; i < nums.length; i++) {
    for (let j = 0; j < nums.length; j++) {
      if (i !== j && nums[i] + nums[j] === target) return [i, j];
    }
  }
}",,javascript,Inefficient Solution
"function firstHalf(arr) {
  return arr.slice(0, arr.length);
}",,javascript,Logical Error
"function slowMax(arr) {
  return [...arr].sort((a, b) => a - b).pop();
}",,javascript,Inefficient Solution
"def reverse_list(arr):
    result = []
    for i in range(len(arr)):
        result = [arr[i]] + result
    return result",,python,Inefficient Solution
"const obj = { a: 1, b: 2;
console.log(obj)",,javascript,Syntax Error
"function maxSubarray(nums) {
  let maxCur = nums[0], maxGlobal = nums[0];
  for (let i = 1; i < nums.length; i++) {
    maxCur = Math.max(nums[i], maxCur + nums[i]);
    maxGlobal = Math.max(maxGlobal, maxCur);
  }
  return maxGlobal;
}",,javascript,Correct
"function factorial(n) {
  let result = 1;
  for (let i = 1; i <= n; i++) result *= i;
  return result;
}",,javascript,Correct
"def find_max(arr):
    max_val = 0
    for x in arr:
        if x > max_val:
            max_val = x
    return max_val",,python,Logical Error
"function isPalindrome(s) {
  const clean = s.toLowerCase().replace(/[^a-z0-9]/g, """");
  return clean === clean.split("""").reverse().join("""");
}",,javascript,Correct
"nums = [1, 2, 3]
nums.remove(9)",ValueError: list.remove(x): x not in list,python,Runtime Error
"def factorial(n):
    result = 0
    for i in range(1, n+1):
        result *= i
    return result",,python,Logical Error
"def gcd(a, b):
    while b:
        a, b = b, a % b
    return a",,python,Correct
"function lastElement(arr) {
  return arr[arr.length];
}",,javascript,Logical Error
"function sumOfSquares(n) {
  return Array.from({ length: n }, (_, i) => i * i).reduce((a, b) => a + b, 0);
}",,javascript,Inefficient Solution
"const obj = {};
console.log(obj.a.b)",TypeError: Cannot read properties of undefined (reading 'b'),javascript,Runtime Error
"d = {""a"": 1, ""b"": 2
print(d)",,python,Syntax Error
"function maxSubArray(nums: number[]): number {
    let maxCur = nums[0], maxGlobal = nums[0];
    for (let i = 1; i < nums.length; i++) {
        maxCur = Math.max(nums[i], maxCur + nums[i]);
        maxGlobal = Math.max(maxGlobal, maxCur);
    }
    return maxGlobal;
}",,typescript,Correct
"def find_duplicates(arr):
    result = []
    for i in range(len(arr)):
        for j in range(i+1, len(arr)):
            if arr[i] == arr[j] and arr[i] not in result:
                result.append(arr[i])
    return result",,python,Inefficient Solution
"let x = null;
console.log(x.foo)",TypeError: Cannot read properties of null,javascript,Runtime Error
"def fizzbuzz(n):
    for i in range(1, n + 1):
        if i % 15 == 0:
            print(""FizzBuzz"")
        elif i % 3 == 0:
            print(""Fizz"")
        elif i % 5 == 0:
            print(""Buzz"")
        else:
            print(i)",,python,Correct
"def square_all(nums):
    return [n * 2 for n in nums]",,python,Logical Error
"for i in range(10)
print(i)",,python,Syntax Error
"def to_celsius(f):
    return (f - 32) * 5 / 9 + 1",,python,Logical Error
"return total
",,python,Syntax Error
"function twoSum(nums: number[], target: number): number[] {
    const map = new Map<number, number>();
    for (let i = 0; i < nums.length; i++) {
        const diff = target - nums[i];
        if (map.has(diff)) return [map.get(diff)!, i];
        map.set(nums[i], i);
    }
    return [];
}",,typescript,Correct
"function clamp(val, min, max) {
  if (val < min) return min;
  if (val < max) return val;
  return max;
}",,javascript,Logical Error
"const arr = [3, 1, 4, 1, 5];
arr.sort();
console.log(arr);",,javascript,Logical Error
"function containsDuplicate(nums) {
  return new Set(nums).size < nums.length;
}",,javascript,Correct
"function findDuplicates(arr) {
  const result = [];
  for (let i = 0; i < arr.length; i++) {
    for (let j = i + 1; j < arr.length; j++) {
      if (arr[i] === arr[j] && !result.includes(arr[i])) {
        result.push(arr[i]);
      }
    }
  }
  return result;
}",,javascript,Inefficient Solution
"def binary_search(arr, target):
    lo, hi = 0, len(arr) - 1
    while lo <= hi:
        mid = (lo + hi) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            lo = mid + 1
        else:
            hi = mid - 1
    return -1",,python,Correct
"function maxOfTwo(a, b) {
  return a > b ? a : b;
}",,javascript,Correct
"function commonElements(a, b) {
  const result = [];
  for (const x of a) {
    for (const y of b) {
      if (x === y && !result.includes(x)) result.push(x);
    }
  }
  return result;
}",,javascript,Inefficient Solution
"function dedupe(arr) {
  const result = [];
  for (let i = 0; i < arr.length; i++) {
    let found = false;
    for (let j = 0; j < result.length; j++) {
      if (arr[i] === result[j]) found = true;
    }
    if (!found) result.push(arr[i]);
  }
  return result;
}",,javascript,Inefficient Solution
"def is_even(n):
    return n % 2 == 1",,python,Logical Error
"function greaterThanTen(n) {
  return n > 100;
}",,javascript,Logical Error
"for (let i = 0 i < 10; i++) {
  console.log(i);
}",,javascript,Syntax Error
"def recurse():
    return recurse()
recurse()",RecursionError: maximum recursion depth exceeded,python,Runtime Error
"def has_pair_sum(nums, target):
    for i in range(len(nums)):
        for j in range(len(nums)):
            if i != j and nums[i] + nums[j] == target:
                return True
    return False",,python,Inefficient Solution
"def sum_of_squares(n):
    return sum([i * i for i in range(n)])",,python,Inefficient Solution
"def max_of_two(a, b):
    return a if a > b else b",,python,Correct
"d = {""a"": 1}
print(d[""b""])",KeyError: 'b',python,Runtime Error
"const fn = () => {
  return {}
  .method()",,javascript,Syntax Error
"a = [1, 2, 3]
b = a + 5","TypeError: can only concatenate list (not ""int"") to list",python,Runtime Error
"function crash() { crash(); }
crash()",RangeError: Maximum call stack size exceeded,javascript,Runtime Error
"function sumToN(n) {
  let total = 0;
  for (let i = 0; i < n; i++) {
    total += i;
  }
  return total;
}",,javascript,Logical Error
"function reverseStr(s) {
  return s.split("""").reverse().join("""");
}
console.log(reverseStr(""hello"") === ""hello"");",,javascript,Logical Error
"numbers = [1, 2, 3]
print(numbers[5])",IndexError: list index out of range,python,Runtime Error
"function factorial(n) {
  let result = 0;
  for (let i = 1; i <= n; i++) {
    result *= i;
  }
  return result;
}",,javascript,Logical Error
"function toCelsius(f) {
  return (f - 32) * 5 / 9 + 1;
}",,javascript,Logical Error
"def factorial(n):
    result = 1
    for i in range(1, n + 1):
        result *= i
    return result",,python,Correct
"def contains_duplicate(nums):
    return len(set(nums)) < len(nums)",,python,Correct
"if x == 5
    print(x)",,python,Syntax Error
"function mergeSorted(a, b) {
  let i = 0, j = 0;
  const result = [];
  while (i < a.length && j < b.length) {
    if (a[i] < b[j]) result.push(a[i++]);
    else result.push(b[j++]);
  }
  return [...result, ...a.slice(i), ...b.slice(j)];
}",,javascript,Correct
"function fibonacci(n: number): number {
    if (n <= 1) return n;
    let prev = 0, curr = 1;
    for (let i = 2; i <= n; i++) {
        [prev, curr] = [curr, prev + curr];
    }
    return curr;
}",,typescript,Correct
"const PI = 3.14;
PI = 3.15;",TypeError: Assignment to constant variable.,javascript,Runtime Error
new Array(-1),RangeError: Invalid array length,javascript,Runtime Error
"function reverseArr(arr) {
  let result = [];
  for (let i = 0; i < arr.length; i++) result = [arr[i], ...result];
  return result;
}",,javascript,Inefficient Solution
"arr.map(x => x * 2
.filter(x > 3)",,javascript,Syntax Error
"data = {1, 2, 3}
data[0]",TypeError: 'set' object is not subscriptable,python,Runtime Error
"function findMax(arr) {
  let max = 0;
  for (let x of arr) {
    if (x > max) max = x;
  }
  return max;
}",,javascript,Logical Error
"const f = null;
f();",TypeError: f is not a function,javascript,Runtime Error
"def unique(arr):
    result = []
    for x in arr:
        if x not in result:
            result.append(x)
    return result",,python,Inefficient Solution
"def add(a, b)
    return a + b",,python,Syntax Error
"function countVowels(s) {
  const vowels = [""a"",""e"",""i"",""o"",""u""];
  let count = 0;
  for (let c of s) {
    if (vowels.includes(c)) count++;
  }
  return count;
}",,javascript,Logical Error
"const arr = [1, 2, 3];;;
arr.map(x =>",,javascript,Syntax Error
"function bubbleSort(arr) {
  const n = arr.length;
  for (let i = 0; i < n; i++) {
    for (let j = 0; j < n; j++) {
      if (arr[i] > arr[j]) [arr[i], arr[j]] = [arr[j], arr[i]];
    }
  }
  return arr;
}",,javascript,Inefficient Solution
"function countdown(n) {
  while (n > 0) {
    console.log(n);
  }
}",,javascript,Logical Error
"const x = [1, 2, 3
console.log(x)",,javascript,Syntax Error
"import os
os.does_not_exist()",AttributeError: module 'os' has no attribute 'does_not_exist',python,Runtime Error
"function gcd(a, b) {
  while (b) { [a, b] = [b, a % b]; }
  return a;
}",,javascript,Correct
"def fizzbuzz(n):
    for i in range(1, n):
        if i % 3 == 0 and i % 5 == 0:
            print(""FizzBuzz"")
        elif i % 3 == 0:
            print(""Fizz"")
        elif i % 5 == 0:
            print(""Buzz"")
        else:
            print(i)",,python,Logical Error
"function isEven(n) {
  return n % 2 === 1;
}",,javascript,Logical Error
"class Animal
    pass",,python,Syntax Error
"function binarySearch(arr, target) {
  let lo = 0, hi = arr.length;
  while (lo < hi) {
    let mid = Math.floor((lo + hi) / 2);
    if (arr[mid] === target) return mid;
    else if (arr[mid] < target) lo = mid;
    else hi = mid;
  }
  return -1;
}",,javascript,Logical Error
"function groupAnagrams(strs) {
  const map = {};
  for (let s of strs) {
    const key = s.split("""").sort().join("""");
    if (!map[key]) map[key] = [];
    map[key].push(s);
  }
  return Object.values(map);
}",,javascript,Correct
"const groupAnagrams = (strs: string[]): string[][] => {
    const map = new Map<string, string[]>();
    for (const s of strs) {
        const key = s.split("""").sort().join("""");
        if (!map.has(key)) map.set(key, []);
        map.get(key)!.push(s);
    }
    return [...map.values()];
};",,typescript,Correct
"def count_vowels(s):
    vowels = ""aeiou""
    count = 0
    for c in s:
        if c in vowels:
            count += 1
    return count",,python,Logical Error
"function isValidParentheses(s) {
  const stack = [];
  const pairs = { ""("": "")"", ""["": ""]"", ""{"": ""}"" };
  for (let c of s) {
    if (c in pairs) stack.push(c);
    else if (pairs[stack.pop()] !== c) return false;
  }
  return stack.length === 0;
}",,javascript,Correct
"const sum = (a, b) =>
  return a + b;",,javascript,Syntax Error
"def find_intersection(a, b):
    return list(set(a) & set(b))",,python,Correct
"def is_palindrome(s):
    return s == s[::-1]
print(is_palindrome(""Racecar""))",,python,Logical Error
"const reverseString = (s: string): string => s.split("""").reverse().join("""");",,typescript,Correct
"def divide(a, b):
    return a / b
print(divide(10, 0))",ZeroDivisionError: division by zero,python,Runtime Error
"x = [1, 2, 3
print(x)",,python,Syntax Error
console.log(missingVar + 1),ReferenceError: missingVar is not defined,javascript,Runtime Error
"function hasPairSum(nums, target) {
  for (let i = 0; i < nums.length; i++) {
    for (let j = 0; j < nums.length; j++) {
      if (i !== j && nums[i] + nums[j] === target) return true;
    }
  }
  return false;
}",,javascript,Inefficient Solution
"function squareAll(nums) {
  return nums.map(n => n * 2);
}",,javascript,Logical Error
"const x = undefined;
console.log(x.toString())",TypeError: Cannot read properties of undefined,javascript,Runtime Error
"def absolute(n):
    if n > 0:
        return n
    return n",,python,Logical Error
"function findDuplicates(nums: number[]): number[] {
    const seen = new Set<number>();
    const dupes = new Set<number>();
    for (const n of nums) {
        if (seen.has(n)) dupes.add(n);
        seen.add(n);
    }
    return [...dupes];
}",,typescript,Correct
"def count_vowels(s):
    return sum(1 for c in s.lower() if c in ""aeiou"")",,python,Correct
"const arr = [1, 2, 3];
console.log(arr[10].toString())",TypeError: Cannot read properties of undefined,javascript,Runtime Error
"def common_elements(a, b):
    result = []
    for x in a:
        for y in b:
            if x == y and x not in result:
                result.append(x)
    return result",,python,Inefficient Solution
"function average(nums) {
  return nums.reduce((a, b) => a + b, 0) / nums.length;
}",,javascript,Correct
"function power(base, exp) {
  let result = 1;
  for (let i = 0; i < exp; i++) result *= base;
  return result;
}",,javascript,Inefficient Solution
"def longest_common_prefix(strs):
    if not strs: return """"
    prefix = strs[0]
    for s in strs[1:]:
        while not s.startswith(prefix):
            prefix = prefix[:-1]
    return prefix",,python,Inefficient Solution
window.nonExistent.method(),TypeError: Cannot read properties of undefined,javascript,Runtime Error
"eval(""function("");",SyntaxError: Unexpected token,javascript,Runtime Error
"print ""hello world""",,python,Syntax Error
"import math
print(math..pi)",,python,Syntax Error
result = (a + b * (c - d),,python,Syntax Error
"def last_index(arr, target):
    for i in range(len(arr)):
        if arr[i] == target:
            return i
    return 0",,python,Logical Error
"function unique(arr) {
  const result = [];
  for (const x of arr) {
    if (!result.includes(x)) result.push(x);
  }
  return result;
}",,javascript,Inefficient Solution
"x = (1, 2, 3
print(x)",,python,Syntax Error
"function longestCommonPrefix(strs) {
  if (!strs.length) return """";
  let prefix = strs[0];
  for (let s of strs.slice(1)) {
    while (!s.startsWith(prefix)) prefix = prefix.slice(0, -1);
  }
  return prefix;
}",,javascript,Inefficient Solution
"def to_celsius(f):
    return (f - 32) * 5 / 9",,python,Correct
"def merge_sorted(a, b):
    i = j = 0
    result = []
    while i < len(a) and j < len(b):
        if a[i] < b[j]:
            result.append(a[i]); i += 1
        else:
            result.append(b[j]); j += 1
    result.extend(a[i:])
    result.extend(b[j:])
    return result",,python,Correct
"def greet(name):
print(name)",,python,Syntax Error
"const twoSum = (nums: number[], target: number): number[] => {
    const seen = new Map<number, number>();
    for (let i = 0; i < nums.length; i++) {
        const complement = target - nums[i];
        if (seen.has(complement)) return [seen.get(complement)!, i];
        seen.set(nums[i], i);
    }
    return [];
};",,typescript,Correct
"function () {
  return 1;
}",,javascript,Syntax Error
"setTimeout(() => { throw ""async error""; }, 100);",,javascript,Runtime Error
print(len(42)),TypeError: object of type 'int' has no len(),python,Runtime Error
"const x = null;
console.log(x.length)",TypeError: Cannot read properties of null (reading 'length'),javascript,Runtime Error
"function containsDuplicate(nums: number[]): boolean {
    return new Set(nums).size !== nums.length;
}",,typescript,Correct
"def bar(x y):
    return x + y",,python,Syntax Error
"nums = [1, 2, 3]]
print(nums)",,python,Syntax Error
"def is_prime(n):
    if n < 2:
        return False
    import math
    for i in range(2, int(math.sqrt(n)) + 1):
        if n % i == 0:
            return False
    return True",,python,Correct
